car,model,volume,weight,co2
Toyota,Aygo,1000,790,99
Mitsubishi,Space Star,1200,1160,95
Skoda,Citigo,1000,929,95
Fiat,500,900,865,90
Volvo,XC60,2000,3900,170
Buick,Enclave,3600,4500,190
Lexus,RX,3500,4300,200
Hyundai,Tucson,2000,3200,130
Kia,Optima,2400,3100,140
Jeep,Cherokee,2400,3700,160
Mazda,CX-5,2500,3200,150
Volkswagen,Passat,2000,3300,145
Subaru,Outback,2500,3500,155
Honda,Accord,2000,3200,140
Chevrolet,Equinox,1500,3300,135
Ford,Fusion,2500,3100,145
Audi,A4,2000,3200,150
Mercedes-Benz,E-Class,3000,3800,170
Hyundai,Sonata,2400,3000,135
Nissan,Altima,2500,3100,140
BMW,X5,3000,4000,180
Tesla,Model S,0,4500,0
Chevrolet,Malibu,2000,3300,130
Ford,Escape,2000,3500,140
Honda,Civic,1800,2800,120
Toyota,Camry,2500,3200,150
Ford,B-Max,1600,1235,104
BMW,2,1600,1390,108
Opel,Zafira,1600,1405,109
Mercedes,SLK,2500,1395,120
Subaru,Forester,2500,3200,145
Chevrolet,Traverse,3600,4400,190
Ford,Explorer,3000,4200,180
Nissan,Rogue,2500,3500,160
Toyota,Rav4,2500,3400,155
Mercedes-Benz,GLC,2.0,3800,170
